Close,Volume
37.6,560965
37.1,2027990
38.3,1128630
37.3,904946
37.3,904946
31.5,356311
32.6,256112
27.2,130758
25.7,142450
38,1049280
37.7,850527
36.9,347592
35.5,1096310
33.3,310920
33.6,462112
31.8,166346
26.8,72280
25.7,186570
38.9,2240470
37.4,513200
33.9,434559
31.8,212457
28.1,131592
25.8,149689
37.9,536963
27.1,353836
37.1,851689
34.6,1131780
32.2,157532
27.5,92824
36.8,147076
39.1,915910
37.4,503776
36.1,723769
27.5,325875
33,230782
33.9,617267
31.8,101981
27.4,98773
37.5,610090
35.8,684661
28.5,385589
32.6,307458
33.8,491897
32.5,209181
31.8,83157
27.3,390541
37.1,453852
34.8,674415
29.5,700214
35.8,1470170
33.4,497729
32.2,207908
31.6,114860
26.4,299025
38.1,816713
38.9,1306950
37.4,663074
34.4,687298
34.4,883080
34.3,857680
31.9,174592
31.3,89811
26.8,60705
26,438473
37.7,742083
34,762109
33.9,503985
34,331043
33.6,442341
31.8,161977
26.4,152365
25.9,231029
38.8,861252
38.2,603242
32.4,1010240
33.7,531083
33.4,363984
32,162295
26.5,67260
25.9,280532
38.8,1262540
39.5,3424990
37.4,587219
32.7,1019540
33,453376
33,411792
30.3,88318
26.2,88635
39.8,2256440
40.9,3425720
37.1,997041
33.2,610151
31.5,593097
33.7,334950
33.1,282133
30.6,49851
19.6,168792
39.2,1345030
33.5,790459
